ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Availability,Category,Gender
982101,Tresemme Hair Fall Defense Shampoo + Conditioner with Vega Hair Dryer Combo,Tresemme,1465,863,,4.3,NA,NA,1838,1686,872,0,1,Combos @ Nykaa,
2809954,Tresemme Keratin Smooth Shampoo + Hold Level 4 Hair Spray,Tresemme,1256,,,4.5,NA,NA,1570,1256,,0,1,,
780640,Tresemme Detox & Restore Combo Buy 580 ml Shampoo and Get 190ml Conditioner Free,Tresemme,623,,,4.4,NA,NA,830,623,,0,1,Combos @ Nykaa,
982105,Tresemme Botanique Shampoo + Conditioner with Vega Hair Dryer Combo,Tresemme,1457,,18,4.2,NA,NA,1829,1678,,0,1,Combos @ Nykaa,
208997,Tresemme Keratin Smooth With Argan Oil Shampoo,Tresemme,713,12,2543,4.4,NA,NA,950,713,12,0,1,Shampoo,
971624,Tresemme Keratin Smooth Shampoo + Conditioner Combo,Tresemme,915,28,1472,4.5,NA,NA,1345,915,25,0,1,Combos @ Nykaa,
7681,Tresemme Hair Fall Defense Shampoo,Tresemme,629,42,1342,4.4,NA,NA,839,713,43,0,1,Shampoo,
384438,Tresemme Keratin Smooth With Argan Oil Shampoo + Conditioner Combo,Tresemme,588,44,68,4.4,NA,NA,840,588,45,0,1,Combos @ Nykaa,
774828,Tresemme Pro Protect Sulphate Free Shampoo,Tresemme,628,61,1201,4.5,NA,NA,785,628,63,0,1,Shampoo,
864831,Tresemme Pro Protect Sulphate Free Combo,Tresemme,662,100,12,4.6,NA,NA,1104,662,105,0,1,Combos @ Nykaa,
117539,Tresemme Botanique Nourish & Replenish Shampoo,Tresemme,496,121,1666,4.4,NA,NA,620,496,124,0,1,Shampoo,
7679,Tresemme Smooth & Shine Shampoo,Tresemme,448,134,570,4.5,NA,NA,560,448,136,0,1,Shampoo,
5788860,TRESemme Pro Pure Damage Recovery Shampoo with Fermented Rice Water Paraben & Sulphate Free,Tresemme,450,151,13,4.5,NA,NA,500,450,155,0,1,Shampoo,
780639,Tresemme Nourish & Replenish Combo Buy 580 ml Shampoo and Get 190ml Conditioner Free,Tresemme,630,164,40,4.5,NA,NA,840,630,168,0,1,Combos @ Nykaa,
