ASIN,Details Tag,Present
B0999S3MD4,Capacity Name,False
B0999S3MD4,Net Quantity,True
B0999S3MD4,Part Number,True
B0999S3MD4,Form Factor,False
B0999S3MD4,Assembly Required,False
B0999S3MD4,Package Dimensions,False
B0999S3MD4,Annual Energy Consumption,True
B0999S3MD4,Refrigerator Fresh Food Capacity,True
B0999S3MD4,Item Dimensions Lxwxh,True
B0999S3MD4,Country Of Origin,True
B0999S3MD4,Number Of Drawers,False
B0999S3MD4,Number Of Puzzle Pieces,False
B0999S3MD4,Manufacturer,True
B0999S3MD4,Special Features,True
B0999S3MD4,Scale,False
B0999S3MD4,Installation Type,True
B0999S3MD4,Ice Storage Capacity,False
B0999S3MD4,Batteries Required,True
B0999S3MD4,Product Dimensions,False
B0999S3MD4,Material Type(S),False
B0999S3MD4,Item Height,False
B0999S3MD4,Defrost System,True
B0999S3MD4,Packer,True
B0999S3MD4,Customer Reviews,True
B0999S3MD4,Cooling Type,False
B0999S3MD4,Model Number,False
B0999S3MD4,Volume Capacity Name,False
B0999S3MD4,Language:,False
B0999S3MD4,Date First Available,True
B0999S3MD4,Control Console,False
B0999S3MD4,Door Material,False
B0999S3MD4,Certification,True
B0999S3MD4,Colour,True
B0999S3MD4,Noise Level,False
B0999S3MD4,Voltage,True
B0999S3MD4,Asin,True
B0999S3MD4,Freezer Capacity,True
B0999S3MD4,Capacity,True
B0999S3MD4,Importer,True
B0999S3MD4,Manufacturer'S Suggested Maximum Weight,False
B0999S3MD4,Imported By,False
B0999S3MD4,Temperature Rating,False
B0999S3MD4,Material,True
B0999S3MD4,Remote Control Included?,False
B0999S3MD4,Wattage,True
B0999S3MD4,Special Feature,False
B0999S3MD4,Manufacturer Recommended Age,False
B0999S3MD4,Item Width,False
B0999S3MD4,Energy Efficiency,True
B0999S3MD4,Batteries Included,True
B0999S3MD4,Door Orientation,True
B084PPZXBX,Drawer Type,False
B084PPZXBX,Best Sellers Rank,True
B084PPZXBX,Batteries,False
B084PPZXBX,Number Of Shelves,False
B084PPZXBX,Brand,True
B084PPZXBX,Bottle Count,False
B084PPZXBX,Item Model Number,False
B084PPZXBX,Color,False
B084PPZXBX,Generic Name,True
B084PPZXBX,Shelf Type,True
B084PPZXBX,Number Of Memory Sticks,False
B084PPZXBX,Included Components,True
B084PPZXBX,Model,True
B084PPZXBX,Item Weight,True
B084PPZXBX,Capacity Name,False
B084PPZXBX,Net Quantity,True
