ASIN,username,rating,title,date,description,keyword,importance,sentiment_score,magnitude,Marketplace,likes,dislikes,verified
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Did not meet expectations,2020-11-30 00:00:00,Very bad product it was very small in size I can waste my money for this product pls don't buy this product it was giving very small size,product,0.09100545197725296,-0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Eluru"
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Did not meet expectations,2020-11-30 00:00:00,Very bad product it was very small in size I can waste my money for this product pls don't buy this product it was giving very small size,size,0.08944611996412277,-0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Eluru"
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Did not meet expectations,2020-11-30 00:00:00,Very bad product it was very small in size I can waste my money for this product pls don't buy this product it was giving very small size,money,0.07998257130384445,-0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Eluru"
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Did not meet expectations,2020-11-30 00:00:00,Very bad product it was very small in size I can waste my money for this product pls don't buy this product it was giving very small size,product,0.06944822520017624,-0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Eluru"
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Did not meet expectations,2020-11-30 00:00:00,Very bad product it was very small in size I can waste my money for this product pls don't buy this product it was giving very small size,size,0.04495950788259506,-0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Eluru"
SMPFWPAPKY52FY3C,Shweta Singh,5,Worth every penny,2022-07-26 00:00:00,Nice product because using in 5 years experience 👌 👍,product,0.8837491273880005,0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Belthara Road"
SMPFWPAPKY52FY3C,Shweta Singh,5,Worth every penny,2022-07-26 00:00:00,Nice product because using in 5 years experience 👌 👍,experience,0.11625086516141891,0.5,0.5,FLIPKART,0,0,"Certified Buyer , Belthara Road"
SMPFWPAPKY52FY3C,KULJIT KAUR WALIA,1,Waste of money!,2022-07-26 00:00:00,Not  effective at all.. Very thin consistency... Over prized and over ratted,consistency,1.0,-0.10000000149011612,0.10000000149011612,FLIPKART,0,0,"Certified Buyer , Jamshedpur"
SMPFWPAPKY52FY3C,Thamizh,1,Utterly Disappointed,2022-07-26 00:00:00,Very very bad shampoo😡🥵 my hair full damage dryness,shampoo,0.5416100025177002,-0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Tittakudi"
SMPFWPAPKY52FY3C,Thamizh,1,Utterly Disappointed,2022-07-26 00:00:00,Very very bad shampoo😡🥵 my hair full damage dryness,damage dryness,0.27970799803733826,-0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Tittakudi"
SMPFWPAPKY52FY3C,Thamizh,1,Utterly Disappointed,2022-07-26 00:00:00,Very very bad shampoo😡🥵 my hair full damage dryness,hair,0.17868201434612274,-0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Tittakudi"
SMPFWPAPKY52FY3C,Nikhil Gupta,5,Classy product,2022-06-26 00:00:00,"It doesn't add volume at all; and it doesn't have any other quality like protecting and detangling hair, so it's a waste product. I was using Gold Quinia one before, which was wayyy better than this. This one feels like waste of money.",waste product,0.6280547380447388,0.20000000298023224,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Bengaluru"
SMPFWPAPKY52FY3C,Nikhil Gupta,5,Classy product,2022-06-26 00:00:00,"It doesn't add volume at all; and it doesn't have any other quality like protecting and detangling hair, so it's a waste product. I was using Gold Quinia one before, which was wayyy better than this. This one feels like waste of money.",volume,0.16929632425308228,0.10000000149011612,0.10000000149011612,FLIPKART,0,0,"Certified Buyer , Bengaluru"
SMPFWPAPKY52FY3C,Nikhil Gupta,5,Classy product,2022-06-26 00:00:00,"It doesn't add volume at all; and it doesn't have any other quality like protecting and detangling hair, so it's a waste product. I was using Gold Quinia one before, which was wayyy better than this. This one feels like waste of money.",Quinia,0.06649862974882126,0.30000001192092896,1.0,FLIPKART,0,0,"Certified Buyer , Bengaluru"
SMPFWPAPKY52FY3C,Nikhil Gupta,5,Classy product,2022-06-26 00:00:00,"It doesn't add volume at all; and it doesn't have any other quality like protecting and detangling hair, so it's a waste product. I was using Gold Quinia one before, which was wayyy better than this. This one feels like waste of money.",hair,0.047539275139570236,0.10000000149011612,0.10000000149011612,FLIPKART,0,0,"Certified Buyer , Bengaluru"
SMPFWPAPKY52FY3C,Nikhil Gupta,5,Classy product,2022-06-26 00:00:00,"It doesn't add volume at all; and it doesn't have any other quality like protecting and detangling hair, so it's a waste product. I was using Gold Quinia one before, which was wayyy better than this. This one feels like waste of money.",quality,0.04641719162464142,0.0,0.0,FLIPKART,0,0,"Certified Buyer , Bengaluru"
SMPFWPAPKY52FY3C,Nikhil Gupta,5,Classy product,2022-06-26 00:00:00,"It doesn't add volume at all; and it doesn't have any other quality like protecting and detangling hair, so it's a waste product. I was using Gold Quinia one before, which was wayyy better than this. This one feels like waste of money.",one,0.018192322924733162,-0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Bengaluru"
